,title,authors,genre,published_year,average_rating
239,Weetzie Bat,Francesca Lia Block,Juvenile Fiction,2004.0,3.74
240,Behind the Curtain,Peter Abrahams,Juvenile Fiction,2006.0,3.9
241,"Catherine, Called Birdy (Summer Reading Edition)",Karen Cushman,Juvenile Fiction,2004.0,3.71
242,Wicked Musical Tie-in Edition,Gregory Maguire,Fiction,2004.0,3.53
243,Son of a Witch,Gregory Maguire,Fiction,2006.0,3.47
244,This Rough Magic,Mary Stewart,Fiction,2004.0,4.05
245,Airs Above the Ground,Mary Stewart,Fiction,2004.0,4.04
246,The Mediator #5: Haunted,Meg Cabot,Juvenile Fiction,2004.0,4.15
247,Beauty,Robin McKinley,Juvenile Fiction,2005.0,4.05
248,Mating in Captivity,Esther Perel,Psychology,2006.0,4.13
249,Forgotten New York,Kevin Walsh,Travel,2006.0,4.18
250,The Dead Beat,Marilyn Johnson,Social Science,2007.0,3.41
251,Charms for the Easy Life,Kaye Gibbons,Fiction,2005.0,4.02
252,The Reading Group,Elizabeth Noble,Fiction,2005.0,3.34
253,A Couple of April Fools,Gregory Maguire,Juvenile Fiction,2005.0,3.5
254,What Christians Believe,C. S. Lewis,Religion,2005.0,4.2
255,Psyche in a Dress,Francesca Lia Block,Juvenile Fiction,2006.0,3.84
256,YOU: The Owner's Manual,Michael F Roizen;Mehmet C Oz,Health & Fitness,2005.0,3.82
257,The Chronicles of Narnia Movie Tie-in Edition (adult),C. S. Lewis,Fiction,2005.0,4.26
258,"The Lion, the Witch and the Wardrobe Movie Tie-in Edition (rack)",C. S. Lewis,Juvenile Fiction,2005.0,4.21
259,"The Nightmare Room, Books 1-2-3: The Nightmare Begins!",R.L. Stine,Juvenile Fiction,2005.0,3.89
260,A Quick Bite,Lynsay Sands,Fiction,2005.0,3.91
261,Goodnight Moon 60th Anniversary Edition,Margaret Wise Brown,Juvenile Fiction,2005.0,4.27
262,Brave New World and Brave New World Revisited,Aldous Huxley,Fiction,2005.0,4.16
263,The Final Solution,Michael Chabon,Fiction,2005.0,3.31
264,The Cat's Pajamas,Ray Bradbury,Fiction,2005.0,3.73
265,Holy Skirts,Rene Steinke,Fiction,2005.0,3.61
266,Time For Kids: Butterflies!,Editors of TIME For Kids,Juvenile Nonfiction,2006.0,4.0
267,A False Mirror,Charles Todd,Fiction,2007.0,4.02
268,Cracks in My Foundation,Marian Keyes,Fiction,2005.0,3.81
269,A Fistful of Charms,Kim Harrison,Fiction,2006.0,4.28
270,For a Few Demons More,Kim Harrison,Fiction,2007.0,4.33
271,Mysteries of Pittsburgh,Michael Chabon,Fiction,2005.0,3.64
272,Everything Is Illuminated tie-in,Jonathan Safran Foer,Fiction,2005.0,3.9
273,Flight of the Nighthawks,Raymond E. Feist,Fiction,2006.0,3.95
274,Into a Dark Realm,Raymond E. Feist,Fiction,2007.0,4.0
275,The 3-Hour Diet (TM) On the Go (Collins Gem),Jorge Cruise,Health & Fitness,2005.0,3.08
276,The Best American Crime Writing 2006,Mark Bowden;Otto Penzler;Thomas H. Cook,True Crime,2006.0,3.99
277,Last of the Wilds,Trudi Canavan,Fiction,2006.0,4.03
278,Voice of the Gods,Trudi Canavan,Fiction,2007.0,4.08
279,Missing Mom,Joyce Carol Oates,Fiction,2006.0,3.54
280,"The Collected Letters of C.S. Lewis, Volume 3",C. S. Lewis,Biography & Autobiography,2004.0,4.49
281,Touch Not the Cat,Mary Stewart,Fiction,2005.0,3.91
282,King of the Vagabonds,Neal Stephenson,Fiction,2006.0,4.16
283,Odalisque,Neal Stephenson,Fiction,2006.0,4.2
284,Black Boy,Richard Wright,Biography & Autobiography,2005.0,4.05
285,The Sheltering Sky,Paul Bowles,Fiction,2005.0,3.91
286,Rat Bastards,John Shea,Biography & Autobiography,2006.0,3.51
287,The Last Days of Henry VIII,Robert Hutchinson,Biography & Autobiography,2005.0,4.14
288,The Thorn Birds,Colleen McCullough,Fiction,2005.0,4.23
289,Krakatoa,Simon Winchester,History,2005.0,3.87
290,The Professor and the Madman,Simon Winchester,Biography & Autobiography,2005.0,3.84
291,Hit Parade,Lawrence Block,Fiction,2006.0,3.86
292,The Curtain,Milan Kundera,Literary Collections,2006.0,3.96
293,"A Hard Day's Write, 3e",Steve Turner,Music,2005.0,4.18
294,"The Lion, the Witch and the Wardrobe Read-Aloud Edition",C. S. Lewis;Pauline Baynes,Juvenile Fiction,2005.0,4.21
295,"Mambo Kings Play Songs of Love, The Tie-in",Oscar Hijuelos,Fiction,2005.0,3.68
296,Sex with the Queen,Eleanor Herman,History,2006.0,3.91
297,Brave New World,Aldous Huxley,Fiction,2006.0,3.98
298,Queen of Babble,Meg Cabot,Fiction,2006.0,3.69
299,"Animal, Vegetable, Miracle",Barbara Kingsolver;Camille Kingsolver;Steven L. Hopp,Biography & Autobiography,2007.0,4.04
300,Good Omens,Neil Gaiman;Terry Pratchett,Fiction,2006.0,4.25
301,Dates From Hell,Kim Harrison;Lynsay Sands;Kelley Armstrong;Lori Handeland,Fiction,2006.0,3.78
